Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.10033E-4,8.766986697,0.105329297,0.494918699,0,0
3.16144E-4,9.017803763,0.107289693,0.486788618,0,0
3.20788E-4,9.272471893,0.10877698,0.478658537,0,0
3.26346E-4,9.531524256,0.110553265,0.470528455,0,0
3.30603E-4,9.761714002,0.111911511,0.463414634,0,0
3.36572E-4,10.028431669,0.113812506,0.455284553,0,0
3.47256E-4,10.268556382,0.117204818,0.448170732,0,0
3.5442E-4,10.514325511,0.119472284,0.441056911,0,0
3.66975E-4,10.768052453,0.123432049,0.433943089,0,0
3.73905E-4,11.026913216,0.125610237,0.426829268,0,0
3.79427E-4,11.253350121,0.127341735,0.420731707,0,0
3.90281E-4,11.523784448,0.130735417,0.413617886,0,0
3.9694E-4,11.759413797,0.132810948,0.407520325,0,0
4.07219E-4,12.001857763,0.136005282,0.401422764,0,0
4.20306E-4,12.291859757,0.14005471,0.394308943,0,0
4.24729E-4,12.503282929,0.141419146,0.389227642,0,0
4.37026E-4,12.763494933,0.145201132,0.383130081,0,0
4.46904E-4,13.02947872,0.148226804,0.37703252,0,0
4.53445E-4,13.254438169,0.150224573,0.37195122,0,0
4.6715E-4,13.531346753,0.154395274,0.365853659,0,0
4.78251E-4,13.769144255,0.157758497,0.360772358,0.076923077,0
4.98041E-4,14.062290096,0.163720799,0.354674797,0.076923077,0
5.02408E-4,14.262328887,0.165031015,0.350609756,0.076923077,0
5.07507E-4,14.515355556,0.166557909,0.345528455,0.076923077,0
5.14147E-4,14.771063361,0.168542162,0.340447154,0.076923077,0
5.2126E-4,15.030085481,0.170662609,0.335365854,0.076923077,0
5.26746E-4,15.292081672,0.172294525,0.330284553,0.076923077,0
5.314E-4,15.50388874,0.173676024,0.326219512,0.076923077,0
5.4072E-4,15.772574061,0.176436164,0.321138211,0.076923077,0
5.49775E-4,16.04573613,0.179108958,0.316056911,0.076923077,0
5.53753E-4,16.266588951,0.180280499,0.31199187,0.076923077,0
5.74364E-4,16.550607548,0.186323237,0.306910569,0.076923077,0
5.78841E-4,16.781493305,0.187629917,0.302845528,0.076923077,0
5.93965E-4,17.016945141,0.192028753,0.298780488,0.076923077,0
6.02388E-4,17.257145152,0.194468167,0.294715447,0.076923077,0
6.10114E-4,17.560660985,0.196699347,0.289634146,0.076923077,0
6.14601E-4,17.805653809,0.197992238,0.285569106,0.076923077,0
6.19089E-4,18.052550585,0.199283376,0.281504065,0.076923077,0
6.25023E-4,18.301550701,0.200987212,0.277439024,0.076923077,0
6.31671E-4,18.553273755,0.202891841,0.273373984,0.076923077,0
6.39146E-4,18.806957443,0.205028055,0.269308943,0.076923077,0
6.49088E-4,19.063849373,0.207860389,0.265243902,0.076923077,0
6.6572E-4,19.261475599,0.212575937,0.262195122,0.076923077,0
6.67725E-4,19.528251911,0.213142437,0.258130081,0.076923077,0
6.73336E-4,19.797484608,0.214726014,0.254065041,0.076923077,0
6.79303E-4,20.000704136,0.216406313,0.25101626,0.076923077,0
6.8314E-4,20.341831078,0.21748492,0.245934959,0.076923077,0
6.88334E-4,20.548060603,0.218942629,0.242886179,0.076923077,0
6.98395E-4,20.756942492,0.221758645,0.239837398,0.076923077,0
7.06387E-4,21.038476957,0.223988163,0.235772358,0.076923077,0
7.11967E-4,21.251720896,0.225541208,0.232723577,0.076923077,0
7.21501E-4,21.53911786,0.228187315,0.228658537,0.076923077,0
