x,y,species cloglog values
555.0,555.0,0.068706095
556.0,556.0,0.19964324
557.0,557.0,0.086905695
558.0,558.0,0.12604038
559.0,559.0,0.21458237
560.0,560.0,0.9833209
561.0,561.0,0.07854187
562.0,562.0,0.54825133
563.0,563.0,0.18664032
564.0,564.0,0.7757013
565.0,565.0,0.076160185
566.0,566.0,0.2255412
567.0,567.0,0.04984203
568.0,568.0,0.083647795
569.0,569.0,0.110187694
570.0,570.0,0.4923644
571.0,571.0,0.22005749
572.0,572.0,0.027224058
573.0,573.0,0.15763801
574.0,574.0,0.4702652
575.0,575.0,0.06628148
576.0,576.0,0.9891386
577.0,577.0,0.009484024
578.0,578.0,0.035260957
579.0,579.0,0.06682514
580.0,580.0,0.1492308
581.0,581.0,0.50370675
582.0,582.0,0.043585364
583.0,583.0,0.059592847
584.0,584.0,0.07870228
585.0,585.0,0.21257594
586.0,586.0,0.2078604
587.0,587.0,0.3002909
588.0,588.0,0.27845365
589.0,589.0,0.2322569
590.0,590.0,0.22667666
591.0,591.0,0.06319829
592.0,592.0,0.062236514
593.0,593.0,0.037923183
594.0,594.0,0.27916855
595.0,595.0,0.8729856
596.0,596.0,0.068765685
597.0,597.0,0.104146436
598.0,598.0,0.1077422
599.0,599.0,0.057171907
600.0,600.0,0.089007586
601.0,601.0,0.10454691
602.0,602.0,0.06070489
603.0,603.0,0.10577834
604.0,604.0,0.10622215
605.0,605.0,0.1262045
606.0,606.0,0.15755963
607.0,607.0,0.71515864
608.0,608.0,0.03642754
609.0,609.0,0.96920973
610.0,610.0,0.033441916
611.0,611.0,0.8504902
612.0,612.0,0.07689268
613.0,613.0,0.04955022
614.0,614.0,0.110922225
615.0,615.0,0.053279385
616.0,616.0,0.09162956
617.0,617.0,0.26527923
618.0,618.0,0.23212436
619.0,619.0,0.06815119
620.0,620.0,0.01895774
621.0,621.0,0.14057031
622.0,622.0,0.23244564
623.0,623.0,0.046513222
624.0,624.0,0.17307769
625.0,625.0,0.89511055
626.0,626.0,0.30669248
627.0,627.0,0.16859142
628.0,628.0,0.1077422
629.0,629.0,0.5188449
630.0,630.0,0.31174552
631.0,631.0,0.18762992
632.0,632.0,0.1110929
633.0,633.0,0.047494985
634.0,634.0,0.14823887
635.0,635.0,0.06858602
636.0,636.0,0.059297305
637.0,637.0,0.1713913
638.0,638.0,0.10511276
639.0,639.0,0.05887208
640.0,640.0,0.12694095
641.0,641.0,0.078390904
642.0,642.0,0.39507455
643.0,643.0,0.07719523
644.0,644.0,0.41511083
645.0,645.0,0.9230843
646.0,646.0,0.40707693
647.0,647.0,0.201293
648.0,648.0,0.035028826
649.0,649.0,0.20300835
650.0,650.0,0.072982155
651.0,651.0,0.24882866
652.0,652.0,0.06450905
653.0,653.0,0.07562223
654.0,654.0,0.043460563
655.0,655.0,0.032268595
656.0,656.0,0.095623
657.0,657.0,0.09870159
658.0,658.0,0.6701936
659.0,659.0,0.03149387
660.0,660.0,0.04586189
661.0,661.0,0.10160184
662.0,662.0,0.19760399
663.0,663.0,0.13114601
664.0,664.0,0.04264864
665.0,665.0,0.048262678
666.0,666.0,0.90828806
667.0,667.0,0.056527767
668.0,668.0,0.030442875
669.0,669.0,0.040989652
670.0,670.0,0.23651236
671.0,671.0,0.16612288
672.0,672.0,0.008379371
673.0,673.0,0.060565412
674.0,674.0,0.2269602
675.0,675.0,0.28148758
676.0,676.0,0.06907479
677.0,677.0,0.21314244
678.0,678.0,0.6327351
679.0,679.0,0.07665297
680.0,680.0,0.09111231
681.0,681.0,0.045213267
682.0,682.0,0.0683222
683.0,683.0,0.21748492
684.0,684.0,0.027431335
685.0,685.0,0.52285105
686.0,686.0,0.03850261
687.0,687.0,0.22175865
688.0,688.0,0.9198871
689.0,689.0,0.30669248
690.0,690.0,0.03526417
691.0,691.0,0.53541183
692.0,692.0,0.022424161
693.0,693.0,0.058741476
694.0,694.0,0.09698295
695.0,695.0,0.6935464
696.0,696.0,0.068742685
697.0,697.0,0.072084874
