x,y,species cloglog values
520.0,520.0,0.09840259
521.0,521.0,0.0961771
522.0,522.0,0.063983455
523.0,523.0,0.08151866
524.0,524.0,0.07814097
525.0,525.0,0.1656578
526.0,526.0,0.18140775
527.0,527.0,0.09825399
528.0,528.0,0.757128
529.0,529.0,0.28733426
530.0,530.0,0.030858338
531.0,531.0,0.24747807
532.0,532.0,0.039219107
533.0,533.0,0.04359709
534.0,534.0,0.047035735
535.0,535.0,0.023947364
536.0,536.0,0.08468559
537.0,537.0,0.0649616
538.0,538.0,0.07916085
539.0,539.0,0.1885829
540.0,540.0,0.0699733
541.0,541.0,0.23299402
542.0,542.0,0.07717351
543.0,543.0,0.06284082
544.0,544.0,0.049813796
545.0,545.0,0.059483718
546.0,546.0,0.027906077
547.0,547.0,0.0470043
548.0,548.0,0.09228532
549.0,549.0,0.045319315
550.0,550.0,0.043925416
551.0,551.0,0.05866475
552.0,552.0,0.05022852
553.0,553.0,0.039174154
554.0,554.0,0.09231537
555.0,555.0,0.08392653
556.0,556.0,0.07383106
557.0,557.0,0.068614006
558.0,558.0,0.077558056
559.0,559.0,0.05241545
560.0,560.0,0.047708686
561.0,561.0,0.03327004
562.0,562.0,0.060124274
563.0,563.0,0.035422254
564.0,564.0,0.07315784
565.0,565.0,0.07665964
566.0,566.0,0.08701514
567.0,567.0,0.1980685
568.0,568.0,0.051470544
569.0,569.0,0.039351996
570.0,570.0,0.04154013
571.0,571.0,0.1778296
572.0,572.0,0.044851802
573.0,573.0,0.061287202
574.0,574.0,0.07251611
575.0,575.0,0.04938797
576.0,576.0,0.044227265
577.0,577.0,0.07498981
578.0,578.0,0.037600257
579.0,579.0,0.5058514
580.0,580.0,0.033412434
581.0,581.0,0.71544886
582.0,582.0,0.31358862
583.0,583.0,0.3267643
584.0,584.0,0.05496033
585.0,585.0,0.087790504
586.0,586.0,0.080089115
587.0,587.0,0.4653972
588.0,588.0,0.079887696
589.0,589.0,0.031254508
590.0,590.0,0.10130555
591.0,591.0,0.088532254
592.0,592.0,0.038784873
593.0,593.0,0.04416246
594.0,594.0,0.07275488
595.0,595.0,0.06121415
596.0,596.0,0.04501931
597.0,597.0,0.9011929
598.0,598.0,0.041141454
599.0,599.0,0.033591215
600.0,600.0,0.08383708
601.0,601.0,0.07787617
602.0,602.0,0.14425877
603.0,603.0,0.09096584
604.0,604.0,0.17234582
605.0,605.0,0.062381063
606.0,606.0,0.036902763
607.0,607.0,0.11334127
608.0,608.0,0.032598734
609.0,609.0,0.039865382
610.0,610.0,0.27133188
611.0,611.0,0.046132725
612.0,612.0,0.11213055
613.0,613.0,0.08673575
614.0,614.0,0.029828232
615.0,615.0,0.31973517
616.0,616.0,0.040508565
617.0,617.0,0.035558637
618.0,618.0,0.050958544
619.0,619.0,0.16265017
620.0,620.0,0.13873045
621.0,621.0,0.96616423
622.0,622.0,0.07777896
623.0,623.0,0.96241516
624.0,624.0,0.053489592
625.0,625.0,0.067914814
626.0,626.0,0.10887252
627.0,627.0,0.047126908
628.0,628.0,0.040284492
629.0,629.0,0.054113064
630.0,630.0,0.05832482
631.0,631.0,0.12881681
632.0,632.0,0.06299696
633.0,633.0,0.05645509
634.0,634.0,0.044264022
635.0,635.0,0.09180693
636.0,636.0,0.059275977
637.0,637.0,0.08004694
638.0,638.0,0.11129778
639.0,639.0,0.035137862
640.0,640.0,0.13276634
641.0,641.0,0.052081127
642.0,642.0,0.28920013
643.0,643.0,0.04315827
644.0,644.0,0.05027113
645.0,645.0,0.04499689
646.0,646.0,0.08973041
647.0,647.0,0.0383949
648.0,648.0,0.06280727
649.0,649.0,0.08778943
650.0,650.0,0.06169464
651.0,651.0,0.03297016
652.0,652.0,0.42796025
653.0,653.0,0.03381887
654.0,654.0,0.26520044
655.0,655.0,0.3998548
656.0,656.0,0.042152554
657.0,657.0,0.069836065
658.0,658.0,0.55496216
659.0,659.0,0.74424016
660.0,660.0,0.0478424
661.0,661.0,0.04836173
662.0,662.0,0.06343842
663.0,663.0,0.4199507
664.0,664.0,0.042082272
665.0,665.0,0.20418125
666.0,666.0,0.05277922
667.0,667.0,0.1070673
668.0,668.0,0.039157525
669.0,669.0,0.5706629
670.0,670.0,0.20091802
671.0,671.0,0.72142345
672.0,672.0,0.080536865
673.0,673.0,0.13582897
674.0,674.0,0.07377175
675.0,675.0,0.048084233
676.0,676.0,0.08140414
677.0,677.0,0.0840162
678.0,678.0,0.17962295
679.0,679.0,0.05064238
680.0,680.0,0.6702141
681.0,681.0,0.084837824
682.0,682.0,0.044043154
683.0,683.0,0.08708188
684.0,684.0,0.061093118
685.0,685.0,0.105646975
686.0,686.0,0.06313915
687.0,687.0,0.20858549
688.0,688.0,0.05981059
689.0,689.0,0.052205704
690.0,690.0,0.03826221
691.0,691.0,0.03294863
692.0,692.0,0.024122408
693.0,693.0,0.05349021
694.0,694.0,0.038287364
695.0,695.0,0.9198946
696.0,696.0,0.09388284
697.0,697.0,0.279623
698.0,698.0,0.0330327
699.0,699.0,0.07934396
700.0,700.0,0.15198769
701.0,701.0,0.37447283
702.0,702.0,0.053489592
703.0,703.0,0.14094287
704.0,704.0,0.2142992
705.0,705.0,0.05710554
706.0,706.0,0.06342736
707.0,707.0,0.051167585
708.0,708.0,0.10931082
709.0,709.0,0.031734258
710.0,710.0,0.15565288
711.0,711.0,0.13171175
712.0,712.0,0.2707268
713.0,713.0,0.07487404
714.0,714.0,0.05844068
715.0,715.0,0.15953892
716.0,716.0,0.07269862
717.0,717.0,0.13738628
718.0,718.0,0.10716703
719.0,719.0,0.19607642
720.0,720.0,0.04904511
721.0,721.0,0.07359242
722.0,722.0,0.79590297
723.0,723.0,0.06636879
724.0,724.0,0.10086217
725.0,725.0,0.053487696
726.0,726.0,0.08093328
727.0,727.0,0.05175071
728.0,728.0,0.34071326
729.0,729.0,0.08025493
730.0,730.0,0.1086046
731.0,731.0,0.030093815
732.0,732.0,0.049046196
733.0,733.0,0.05849874
734.0,734.0,0.029887114
735.0,735.0,0.9548586
736.0,736.0,0.07839514
737.0,737.0,0.07202227
738.0,738.0,0.07554441
739.0,739.0,0.034315795
740.0,740.0,0.106053375
741.0,741.0,0.058098316
742.0,742.0,0.038545247
743.0,743.0,0.11620802
744.0,744.0,0.097867
745.0,745.0,0.14412427
746.0,746.0,0.045375958
747.0,747.0,0.33738667
748.0,748.0,0.10907849
749.0,749.0,0.17220299
750.0,750.0,0.041802794
751.0,751.0,0.15971611
752.0,752.0,0.1137933
753.0,753.0,0.05788973
754.0,754.0,0.05172899
755.0,755.0,0.04606072
