Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.50777E-3,35.252039818,0.505851386,0.087398374,0.230769231,0
2.60689E-3,35.512729104,0.519429157,0.086382114,0.230769231,0
2.68567E-3,35.781296131,0.52995387,0.085365854,0.307692308,0
2.70796E-3,36.052091715,0.532889191,0.084349593,0.307692308,0
2.77246E-3,36.329338047,0.541282811,0.083333333,0.307692308,0
2.77546E-3,36.606883764,0.541668682,0.082317073,0.307692308,0
2.83936E-3,36.890819613,0.549827844,0.081300813,0.307692308,0
2.88017E-3,37.178836213,0.554962142,0.080284553,0.307692308,0
2.88665E-3,37.467501512,0.555772908,0.079268293,0.307692308,0
2.92021E-3,37.759522651,0.55994362,0.078252033,0.307692308,0
2.93746E-3,38.053268278,0.562071599,0.077235772,0.307692308,0
3.00794E-3,38.354062494,0.570662936,0.076219512,0.307692308,0
3.01931E-3,38.6559939,0.572033151,0.075203252,0.307692308,0
3.01937E-3,38.957930502,0.572039401,0.074186992,0.307692308,0
3.13623E-3,39.271553265,0.585869105,0.073170732,0.307692308,0
3.17462E-3,39.589015406,0.590314476,0.072154472,0.307692308,0
3.18774E-3,39.907789725,0.591822795,0.071138211,0.307692308,0
3.19001E-3,40.226790314,0.592082326,0.070121951,0.307692308,0
3.25125E-3,40.551915481,0.599044846,0.069105691,0.307692308,0
3.2518E-3,40.877095634,0.599106814,0.068089431,0.307692308,0
3.28419E-3,41.205515037,0.602740508,0.067073171,0.307692308,0
3.36303E-3,41.541817775,0.611446775,0.066056911,0.307692308,0
3.52805E-3,41.894623199,0.62905931,0.06504065,0.307692308,0
3.55132E-3,42.249754991,0.631477078,0.06402439,0.307692308,0
3.59904E-3,42.609658915,0.636387493,0.06300813,0.307692308,0
3.89164E-3,42.998822556,0.665096778,0.06199187,0.384615385,0
3.94642E-3,43.393464072,0.670214102,0.06097561,0.384615385,0
4.01857E-3,43.795321308,0.676835742,0.05995935,0.384615385,0
4.02109E-3,44.19743047,0.67706451,0.058943089,0.384615385,0
4.20889E-3,44.618319042,0.693669408,0.057926829,0.384615385,0
4.33552E-3,45.051870639,0.704381449,0.056910569,0.384615385,0
4.37666E-3,45.489536256,0.707780362,0.055894309,0.384615385,0
4.47126E-3,45.936662327,0.715448864,0.054878049,0.384615385,0
4.50618E-3,46.387280456,0.718228338,0.053861789,0.384615385,0
4.54675E-3,46.841955611,0.72142342,0.052845528,0.384615385,0
4.70749E-3,47.312704636,0.733730116,0.051829268,0.384615385,0
4.77587E-3,47.790291453,0.73879911,0.050813008,0.384615385,0
4.78347E-3,48.268638671,0.739356814,0.049796748,0.384615385,0
4.85076E-3,48.753714467,0.744240187,0.048780488,0.384615385,0
5.0347E-3,49.257184235,0.757128011,0.047764228,0.384615385,0
5.16923E-3,49.774107211,0.766140988,0.046747967,0.384615385,0
5.48433E-3,50.322540336,0.785963739,0.045731707,0.461538462,0
5.50881E-3,50.873421163,0.787431326,0.044715447,0.461538462,0
5.52094E-3,51.425514785,0.788154757,0.043699187,0.461538462,0
5.6144E-3,51.986954525,0.793647744,0.042682927,0.461538462,0
5.65349E-3,52.552303702,0.795902969,0.041666667,0.461538462,0
5.66648E-3,53.118951666,0.79664673,0.040650407,0.461538462,0
5.98548E-3,53.717499388,0.814087419,0.039634146,0.461538462,0
6.198E-3,54.337299534,0.824868453,0.038617886,0.461538462,0
6.28531E-3,54.965830462,0.82911416,0.037601626,0.461538462,0
6.31363E-3,55.597193245,0.83046904,0.036585366,0.538461538,0
6.60086E-3,56.257278789,0.843618622,0.035569106,0.538461538,0
6.67879E-3,56.925157642,0.847007137,0.034552846,0.538461538,0
7.1037E-3,57.635527901,0.864231573,0.033536585,0.538461538,0
7.61941E-3,58.397468803,0.882552788,0.032520325,0.538461538,0
7.87481E-3,59.184949939,0.890689,0.031504065,0.538461538,0
7.94031E-3,59.978981,0.892683156,0.030487805,0.538461538,0
8.02232E-3,60.781213111,0.895128792,0.029471545,0.538461538,0
8.15761E-3,61.596974325,0.899042103,0.028455285,0.538461538,0
8.23422E-3,62.420396338,0.90119289,0.027439024,0.538461538,0
8.53162E-3,63.273557884,0.909116936,0.026422764,0.538461538,0
8.8043E-3,64.153987687,0.915822777,0.025406504,0.538461538,0
8.82599E-3,65.036586828,0.916334517,0.024390244,0.538461538,0
8.98068E-3,65.934655253,0.919894593,0.023373984,0.538461538,0
9.36229E-3,66.870884324,0.928042457,0.022357724,0.538461538,0
9.42317E-3,67.813201322,0.929263373,0.021341463,0.615384615,0
9.67937E-3,68.781138473,0.934178475,0.020325203,0.692307692,0
1.06404E-2,69.845182787,0.949760783,0.019308943,0.692307692,0
1.07671E-2,70.921892245,0.951517882,0.018292683,0.692307692,0
1.10211E-2,72.024000843,0.954858604,0.017276423,0.769230769,0
1.16728E-2,73.191282838,0.962415132,0.016260163,0.769230769,0
1.19213E-2,74.383413198,0.964950744,0.015243902,0.769230769,0
1.20467E-2,75.588079036,0.966164249,0.014227642,0.846153846,0
1.21796E-2,76.806039416,0.967405359,0.013211382,0.846153846,0
1.33213E-2,78.138168725,0.976353232,0.012195122,0.846153846,0
1.41759E-2,79.55575544,0.981402796,0.011178862,0.846153846,0
